,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
2555,Dalmeny Court,1500000,Flat / Apartment,798,2,2,2, St. James's,London,SW1Y 6BL
2556,Shirland Road,600000,Flat / Apartment,630,2,2,2,Maida Vale,London,W9 2EL
2557,Grand Drive,575000,House,971,3,3,3,Raynes Park,London,SW20 9DG
2558,Mandalay Road,925000,Flat / Apartment,893,2,2,2,Clapham,London,SW4 9EE
2559,Manor Road,1495000,House,2433,4,4,4, Loughton,Essex,IG10 4AD
2560,Southwell Gardens,4750000,Flat / Apartment,2500,3,3,3,,London,SW7 4SB
2561,Napier Road,2000000,House,2189,3,3,3,,London,W14 8LQ
2562,Battersea Bridge Road,799950,Flat / Apartment,1040,2,2,2,,Battersea,SW11 3AS
2563,Fielding Road,1300000,House,1347,3,3,3,Chiswick,London,W4 1DB
2564,Schubert Road,1100000,Flat / Apartment,2043,4,4,4,Putney,London,SW15 2QS
2565,Great Eastern Street,1200000,Flat / Apartment,890,1,1,1,,London,EC2A 3EP
2566,Nottingham Place,9250000,House,5139,4,4,4,,London,W1U 5LU
2567,Rivermead,1499000,House,3238,5,5,5,East Molesey,Surrey,KT8 9AZ
2568,The Heights,475000,Flat / Apartment,977,3,3,3, Watford,Hertfordshire,WD19 4PU
2569,Mallinson Road,925000,Flat / Apartment,944,2,2,2,,London,SW11 1BP
2570,Addisland Court,1450000,Flat / Apartment,961,2,2,2,Holland Villas Road,London,W14 8DA
2571,Fitzgerald Road,1995000,House,3443,5,5,5,Thames Ditton,Surrey,KT7 0TU
2572,Ashburn Gardens,2195000,Flat / Apartment,1623,3,3,3,,London,SW7 4DG
2573,Bazalgette Court,550000,Flat / Apartment,797,2,2,2,Great West Road,London,W6 9AG
2574,Waldemar Avenue,1950000,House,2054,5,5,5,Bishops Park,Fulham,SW6 5LU
2575,Deodar Road,1375000,House,1360,3,3,3,Putney,London,SW15 2NJ
2576,Thirsk Road,799999,Flat / Apartment,1090,2,2,2,,London,SW11 5SU
2577,Boyd Building,440000,Flat / Apartment,847,2,2,2,10 Frobisher Yard,London,E16 2GY
2578,Craig Tower,475000,Flat / Apartment,895,2,2,2, Bow,London,E3 4EF
2579,Cavendish Road,825000,Flat / Apartment,1312,3,3,3,Brondesbury,London,NW6 7XP
2580,Meadowbank,3500000,House,2956,5,5,5,Primrose Hill,London,NW3 3AY
2581,Hillbrow,950000,Flat / Apartment,1239,3,3,3,,Richmond Hill,TW10 6BH
2582,Draycott Place,2750000,Flat / Apartment,1474,3,3,3,,London,SW3 2SB
2583,Mogul Building,625000,Flat / Apartment,928,2,2,2, Stratford,London,E15 1FY
2584,Boat Race House,1295000,New development,1487,2,2,2,63 Mortlake High Street,London,SW14 8HL
2585,West Hill Road,2950000,House,2995,5,5,5,Putney,London,SW18 1LE
2586,Porchester Road,899995,Flat / Apartment,834,2,2,2,Notting Hill,London,W2 5DP
2587,Alvington Crescent,1300000,House,1907,4,4,4,Hackney,London,E8 2NW
2588,Elizabeth Mews,1495000,House,1020,2,2,2,Belsize Park,London,NW3 4UH
2589,Keble Place,795000,Flat / Apartment,922,2,2,2,Barnes,London,SW13 8HL
2590,Chiswick Quay,1450000,House,2106,4,4,4,Chiswick,London,W4 3UR
2591,Sugden Road,795000,Flat / Apartment,860,2,2,2,,London,SW11 5ED
2592,Barmouth Road,765000,Flat / Apartment,993,2,2,2,Wandsworth,London,SW18 2DT
2593,Vicarage Drive,2150000,House,2309,5,5,5,,London,SW14 8RX
2594,Ivory House,825000,Flat / Apartment,616,1,1,1,East Smithfield,London,E1W 1AT
2595,Knivet Road,1575000,House,1703,4,4,4, Fulham,London,SW6 1JJ
2596,Paget Place,1575000,House,2514,4,4,4,Kingston upon Thames,Surrey,KT2 7HZ
2597,Wandsworth Road,1350000,House,1900,4,4,4,,London,SW8 3JF
2598,Hans Crescent,2050000,Flat / Apartment,1003,2,2,2,,London,SW1X 0LJ
2599,Beaufort Gardens,1999950,Flat / Apartment,802,2,2,2,,London,SW3 1PS
2600,Pond Street,875000,Flat / Apartment,943,2,2,2,Hampstead,London,NW3 2PS
2601,Glenburnie Road,1275000,House,1445,3,3,3,,London,SW17 7NE
2602,Barrowgate Road,2850000,House,2833,5,5,5,Chiswick,London,W4 4QU
2603,Bath Road,3500000,House,3775,7,7,7,Bedford Park,London,W4 1LJ
2604,Stanlake Road,1875000,House,2618,5,5,5,,London,W12 7HG
2605,Bridge Street,2100000,House,2139,5,5,5,Chiswick,London,W4 5UF
2606,Abbey Lodge,3750000,Flat / Apartment,2315,4,4,4, St John's Wood,London,NW8 7RJ
2607,Blomfield Road,2450000,Flat / Apartment,1289,2,2,2,Little Venice,London,W9 2PD
2608,Arena Tower,498000,Flat / Apartment,554,1,1,1, Canary Wharf,London,E14 9TA
2609,Oxborough House,590000,Flat / Apartment,795,2,2,2,33 Eltringham Street,London,SW18 1GS
2610,Clerkenwell Road,900000,Flat / Apartment,756,2,2,2,,London,EC1M 5PY
2611,Cranley Gardens,1195000,Flat / Apartment,850,1,1,1,,London,SW7 3DD
2612,Courtfield Gardens,2195000,Flat / Apartment,1268,2,2,2,,London,SW5 0PD
2613,Bassein Park Road,2400000,House,3029,6,6,6,,London,W12 9RZ
2614,Park Mansions,850000,Flat / Apartment,975,3,3,3, Battersea,London,SW11 4HQ
2615,Manor House,1025000,Flat / Apartment,1070,3,3,3, Marylebone,London,NW1 5NP
2616,Charlwood Road,1950000,House,2158,3,3,3,Putney,London,SW15 1PW
2617,Corinthia Residences,8950000,New development,2956,3,3,3,10 Whitehall Place,London,SW1A 2BD
2618,Crane Grove,799950,House,686,2,2,2,,London,N7 8LE
2619,Lansdowne Drive,1295000,House,1364,3,3,3,Hackney,London,E8 3ER
2620,Winterdown Road,775000,House,1149,2,2,2,Esher,Surrey,KT10 8LJ
2621,Dartmouth Terrace,410000,Flat / Apartment,547,1,1,1,Blackheath,London,SE10 8AX
2622,Dance Square,650000,Flat / Apartment,571,1,1,1,,London,EC1V 3AN
2623,Beacon Tower,595000,Flat / Apartment,735,2,2,2,1 Spectrum Way,London,SW18 4GL
2624,Tamarind Court,2650000,New development,1191,2,2,2,Stone Hall Gardens,London,W8 5UP
2625,Wandsworth Common West Side,2500000,House,2882,6,6,6,Wandsworth,London,SW18 2ED
2626,Queenstown Road,950000,House,1661,4,4,4,Battersea,London,SW8 3QD
2627,Fladgate House,820000,New development,797,1,1,1,,4 Circus Road West,SW11 8EU
2628,Heath Rise,1225000,Flat / Apartment,2056,3,3,3, Putney,London,SW15 3HF
2629,Pembridge Villas,1795000,Flat / Apartment,1118,2,2,2,Notting Hill,London,W11 3EL
2630,The Woodlands,1000000,House,1666,3,3,3,Esher,Surrey,KT10 8DD
2631,Holroyd Road,2295000,House,2899,4,4,4,Putney,London,SW15 6LN
2632,Campion Road,2895000,House,3414,6,6,6,Putney,London,SW15 6NN
2633,Rutland Gate,1000000,Flat / Apartment,728,2,2,2,,London,SW7 1BH
2634,Highbury New Park,625000,Flat / Apartment,825,2,2,2,,London,N5 2DJ
2635,Freeland Road,3000000,House,4088,6,6,6,Ealing,London,W5 3HR
2636,Gorst Road,2999000,House,3295,6,6,6,,London,SW11 6JE
2637,Gloucester Street,965000,Flat / Apartment,925,2,2,2,Pimlico,London,SW1V 2DB
2638,Byfeld Gardens,2000000,House,2127,4,4,4,Barnes,London,SW13 9HP
2639,Montagu Mews West,5000000,House,2332,4,4,4,,Marylebone,W1H 2EE
2640,Marryat Place,3450000,New development,3802,5,5,5,Wimbledon,London,SW19 5BL
2641,Callow Street,895000,Flat / Apartment,555,1,1,1,,London,SW3 6BJ
2642,Oxshott,5000000,House,7879,6,6,6,,Surrey,KT22 0QB
2643,Stanley Grove,1095000,House,1256,4,4,4,,London,SW8 3PB
2644,West Eaton Place Mews,5650000,House,2753,4,4,4,Belgravia,London,SW1X 8LY
2645,Foyle Road,2820000,New development,3900,5,5,5,Blackheath,London,SE3 7RH
2646,Worple Avenue,2250000,House,2835,5,5,5,Wimbledon,London,SW19 4JQ
2647,City Road,700000,Flat / Apartment,997,2,2,2,,London,EC1V 2NR
2648,Exchange Building,1850000,Penthouse,1836,2,2,2, Spitalfields,London,E1 6NQ
2649,Boundaries Road,1525000,House,2232,5,5,5,,London,SW12 8HG
2650,Hatton Wall,1350000,Penthouse,1117,2,2,2,Clerkenwell,London,EC1N 8JJ
2651,Dallington Street,625000,Flat / Apartment,636,1,1,1,Clerkenwell,London,EC1V 0DB
2652,Marville Road,1650000,House,1576,4,4,4,Fulham,London,SW6 7BB
2653,Inverness Street,450000,Flat / Apartment,500,1,1,1,Camden,London,NW1 7HB
2654,Telford Terrace,1625000,House,1372,4,4,4,,London,SW1V 3AE
2655,The Drive,1000000,House,1528,4,4,4,,Northwood,HA6 1HW
2656,Rosebery Avenue,850000,Flat / Apartment,848,2,2,2,Clerkenwell,London,EC1R 4UL
2657,Spencer Road,2495000,House,3609,6,6,6,,Twickenham,TW2 5TH
2658,Chiswick Quay,2250000,House,2469,4,4,4,,London,W4 3UR
2659,Hamilton Terrace,3950000,House,2803,5,5,5,St. John's Wood,London,NW8 9UG
2660,Surrey Square,1750000,House,2396,5,5,5,,London,SE17 2JX
2661,Newcastle House,1195000,Flat / Apartment,678,1,1,1, Marylebone,London,W1U 5BR
2662,Perrymead Street,3000000,House,3027,5,5,5, Parsons Green,London,SW6 3SN
2663,Ceram Court,550000,Flat / Apartment,960,2,2,2, Bow,London,E3 3GW
2664,Bristol House,1000000,Flat / Apartment,659,1,1,1,67 Lower Sloane Street,London,SW1W 8DD
2665,Park Square East,9950000,House,4876,6,6,6,Regent's Park,London,NW1 4LH
2666,Chelsea Square,11950000,House,4785,5,5,5,,London,SW3 6LH
2667,Trefoil Road,1500000,House,2123,5,5,5,Wandsworth,London,SW18 2EQ
2668,Leathwaite Road,599999,Flat / Apartment,665,2,2,2,,London,SW11 1XG
2669,Nevern Square,995000,Flat / Apartment,1021,2,2,2,,London,SW5 9NN
2670,Plender Street,525000,Flat / Apartment,565,1,1,1,Camden,London,NW1 0LB
2671,Ebury Street,2395000,Flat / Apartment,1190,3,3,3,,London,SW1W 0PA
2672,Abingdon Court,2100000,Flat / Apartment,1367,3,3,3, Kensington,London,W8 6BS
2673,Geraldine Road,800000,Flat / Apartment,1044,2,2,2,Wandsworth,London,SW18 2NT
2674,Glenalmond House,885000,Flat / Apartment,1113,3,3,3, Putney,London,SW15 3LP
2675,Howards Lane,2395000,House,2881,5,5,5,Putney,London,SW15 6NZ
2676,Maitland Court,1680000,Flat / Apartment,1502,3,3,3, Paddington,London,W2 3PD
2677,Thornton Avenue,2000000,House,2178,4,4,4,Chiswick,London,W4 1QF
2678,Corney Reach Way,1175000,House,1752,3,3,3,Chiswick,London,W4 2TY
2679,Fulham Park Gardens,2350000,House,2720,6,6,6,Fulham,London,SW6 4JX
2680,Bute Avenue,4200000,House,4591,6,6,6,Richmond,Surrey,TW10 7AX
2681,Chepstow Road,1550000,Flat / Apartment,1227,2,2,2,Notting Hill,London,W2 5BH
2682,St. Dionis Road,2500000,House,2314,4,4,4, Fulham,London,SW6 4TT
2683,Weststand Apartments,695000,Flat / Apartment,871,2,2,2,Highbury Stadium Square,London,N5 1FH
2684,Harefield,775000,House,1368,3,3,3,Esher,Surrey,KT10 9TG
2685,Philbeach Gardens,4950000,House,4622,6,6,6,,London,SW5 9EB
2686,Philbeach Gardens,1795000,Flat / Apartment,1402,4,4,4,,London,SW5 9DY
2687,Oyster Wharf,565000,Flat / Apartment,711,2,2,2, Battersea,London,SW11 3RJ
2688,Block A,2500000,Flat / Apartment,1950,3,3,3,50 Holland Street,London,SE1 9FU
2689,East Hill,885000,Flat / Apartment,920,2,2,2,Wandsworth,London,SW18 2HG
2690,Sefton Street,399950,New development,362,1,1,1,Putney,London,SW15 1NA
2691,Darwin Court,895000,Flat / Apartment,1013,2,2,2, Primrose Hill,London,NW1 7BQ
2692,North Side Wandsworth Common,550000,Flat / Apartment,654,2,2,2,,London,SW18 2SL
2693,Airedale Road,1450000,House,2270,4,4,4,,London,SW12 8SF
2694,Television Centre,1160000,New development,861,2,2,2,101 Wood Lane,London,W12 7FT
2695,Atrium Apartments,2500000,Flat / Apartment,1227,2,2,2, St John's Wood,London,NW8 7EA
2696,Ennismore Gardens,1575000,Flat / Apartment,699,1,1,1,,London,SW7 1NP
2697,Langdon Park Road,2500000,House,3613,7,7,7,Highgate,London,N6 5QG
2698,Draycott Place,1150000,Flat / Apartment,682,1,1,1,,London,SW3 2SB
2699,Fassett Square,1450000,House,1727,4,4,4,,London,E8 1DQ
2700,Cadogan Lane,2650000,House,1304,2,2,2,,London,SW1X 9DX
2701,Birkbeck Road,1175000,House,1601,4,4,4,Wimbledon,London,SW19 8NZ
2702,Loddiges Road,360000,Flat / Apartment,630,2,2,2,South Hackney,London,E9 7PJ
2703,Linnet Court,670000,Flat / Apartment,920,2,2,2, Putney,London,SW15 6RJ
2704,Thornton Place,799500,Flat / Apartment,898,2,2,2,,London,SW4 0AB
2705,Hartismere Road,1250000,House,1828,4,4,4,Fulham,London,SW6 7UE
2706,Ayr Court,350000,Flat / Apartment,422,1,1,1,Monks Drive,London,W3 0EA
2707,Kings Drive,895000,House,1579,4,4,4,Thames Ditton,Surrey,KT7 0TH
2708,Fee Farm Road,1500000,House,2122,5,5,5, Esher,Surrey,KT10 0JX
2709,Trevor Square,4250000,House,1978,4,4,4,Knightsbridge,London,SW7 1DY
2710,Porteus Place,1225000,Flat / Apartment,1262,3,3,3,,London,SW4 0AS
2711,Newark Street,1150000,House,1447,4,4,4,,London,E1 2AA
2712,Larkhall Rise,2250000,House,2422,5,5,5,,London,SW4 6LB
2713,Gore Road,405000,Flat / Apartment,376,1,1,1,South Hackney,London,E9 7HR
2714,Eleven Acre Rise,2750000,House,5310,5,5,5,Loughton,Essex,IG10 1AN
2715,Southgate Road,1695000,House,2160,4,4,4,Islington,London,N1 3HX
2716,Cross Street,850000,Flat / Apartment,770,2,2,2,Islington,London,N1 2BA
2717,Television Centre,1295000,Flat / Apartment,924,2,2,2,101 Wood Lane,London,W12 7FT
2718,80 Rainville Road,2750000,Flat / Apartment,1765,3,3,3,Hammersmith,London,W6 9HS
2719,The Tower,2750000,Flat / Apartment,1539,3,3,3, Vauxhall,London,SW8 2DA
2720,City Road,599950,Flat / Apartment,495,1,1,1,Clerkenwell,London,EC1V 2PY
2721,Mulberry Court,1100000,Flat / Apartment,1461,3,3,3,1 School Mews,London,E1 0EW
2722,Eton Avenue,4750000,House,2890,5,5,5,Belsize Park,London,NW3 3HL
2723,Castelnau,2500000,House,3053,5,5,5,Barnes,London,SW13 9EW
2724,Richard Burbidge Mansions,1250000,Flat / Apartment,1281,2,2,2,1 Brasenose Drive,London,SW13 8RB
2725,Boat Race House,1650000,New development,1887,2,2,2,63 Mortlake High Street,London,SW14 8HL
2726,Cathcart Road,6250000,House,3215,5,5,5,Chelsea,London,SW10 9NN
2727,London House,5295000,Penthouse,2807,4,4,4, St John's Wood,London,NW8 7PX
2728,Hasker Street,3500000,House,1481,3,3,3,,London,SW3 2LQ
2729,Ovington Square,14500000,House,7156,6,6,6,,London,SW3 1LJ
2730,Lanherne House,699950,Flat / Apartment,1087,3,3,3,9 The Downs,London,SW20 8JG
2731,Craven Hill Gardens,1100000,Flat / Apartment,718,1,1,1,,London,W2 3EA
2732,Studdridge Street,3100000,House,2885,6,6,6, Fulham,London,SW6 3SL
2733,Spinnaker House,700000,Flat / Apartment,990,2,2,2, Battersea,London,SW18 1FR
2734,Artillery Mansions,1600000,Flat / Apartment,1078,2,2,2, Westminster,London,SW1H 0HX
2735,Huntingfield Road,625000,House,899,2,2,2,Putney,London,SW15 5ER
2736,Ladbroke Grove,485000,Flat / Apartment,454,1,1,1,Notting Hill,London,W11 1PG
2737,Sindercombe Mews,1200000,House,1358,2,2,2,,London,W12 9BQ
2738,Broomwood Road,600000,Flat / Apartment,736,3,3,3,,London,SW11 6JF
2739,Boat Race House,1850000,New development,1978,3,3,3,63 Mortlake High Street,London,SW14 8HL
2740,Eglantine Road,1275000,House,1766,4,4,4,Wandsworth,London,SW18 2DD
2741,Longmoore Street,2100000,House,1913,4,4,4,,London,SW1V 1JQ
2742,Elizabeth Street,3450000,Flat / Apartment,2377,5,5,5,,London,SW1W 9PB
2743,Elsworthy Rise,1050000,New development,546,1,1,1,Primrose Hill,London,NW3 3DS
2744,Well Road,6950000,New development,4295,5,5,5,Hampstead,London,NW3 1LH
2745,St John Street,999950,Penthouse,764,2,2,2,,London,EC1V 4ND
2746,Mandeville Courtyard,995000,Flat / Apartment,1115,2,2,2, Battersea,London,SW11 4NB
2747,Hornsey Lane Gardens,1150000,Flat / Apartment,1346,3,3,3,Highgate,London,N6 5NY
2748,Boat Race House,2200000,Penthouse,1715,2,2,2,63 Mortlake High Street,London,SW14 8HL
2749,Boat Race House,1800000,Penthouse,1490,2,2,2,63 Mortlake High Street,London,SW14 8HL
2750,Warwick Way,680000,Flat / Apartment,681,2,2,2,,London,SW1V 1QR
2751,Butler House,925000,New development,1033,3,3,3, Maida Vale,London,W9 2DP
2752,Westbourne Terrace Road,1800000,Flat / Apartment,1441,3,3,3,Little Venice,London,W2 6NG
2753,Packington Street,1000000,Flat / Apartment,923,2,2,2,Islington,London,N1 8RA
2754,Vincent Close,1765000,House,3354,5,5,5,Esher,Surrey,KT10 8AW
2755,Horseshoe Court,835000,Flat / Apartment,744,2,2,2,11 Brewhouse Yard,London,EC1V 4JU
2756,Jackson & Joseph Building,1900000,Flat / Apartment,2114,2,2,2,8 Princelet Street,London,E1 6QJ
2757,Upper Richmond Road,540000,Flat / Apartment,615,2,2,2,Putney,London,SW15 2TX
2758,Palm House,899950,Flat / Apartment,1025,3,3,3,70 Sancroft Street,London,SE11 5AH
2759,Macaulay Road,5950000,House,6776,8,8,8,Clapham,London,SW4 0QX
2760,Ormond House,730000,Flat / Apartment,626,2,2,2,Medway Street,London,SW1P 2TB
2761,Lingfield Road,1495000,Flat / Apartment,1618,3,3,3,,London,SW19 4PU
2762,Blue Row Cottage,525000,House,833,3,3,3,Upshirebury Green,Essex,EN9 3ST
2763,Carlton Hill,1195000,Flat / Apartment,839,2,2,2,St. John's Wood,London,NW8 0JY
2764,Eardley Crescent,775000,Flat / Apartment,828,2,2,2,,London,SW5 9JS
2765,Anhalt Road,3200000,House,2634,5,5,5,Battersea,London,SW11 4NZ
2766,Clare Hill,2495000,House,4185,6,6,6,Esher,Surrey,KT10 9NB
2767,Hardman Road,699950,House,1037,3,3,3,Kingston upon Thames,Surrey,KT2 6RH
2768,Carew Road,500000,Flat / Apartment,955,2,2,2,Northwood,Middlesex,HA6 3NL
2769,Ellington Street,500000,Flat / Apartment,462,1,1,1,,London,N7 8PL
2770,Seymour Road,1150000,House,1774,4,4,4,East Molesey,Surrey,KT8 0PB
2771,17 Lillie Square,2170000,New development,1083,3,3,3, Earls Court,London,SW6 1UE
2772,Queen's Gate Terrace,1395000,Flat / Apartment,924,2,2,2,,London,SW7 5PL
2773,Brynmaer Road,2300000,House,2062,4,4,4,,London,SW11 4EW
2774,Eagle Point,899995,Flat / Apartment,863,2,2,2, Old Street,London,EC1V 1AR
2775,Battersea High Street,900000,House,902,2,2,2,,London,SW11 3HX
2776,Norfolk Road,6395000,House,2944,3,3,3,St. John's Wood,London,NW8 6HE
2777,Belgravia Court,1350000,Flat / Apartment,750,2,2,2,33 Ebury Street,London,SW1W 0NY
2778,Icon Apartments,5000000,Penthouse,4004,4,4,4, Pimlico,London,SW1V 3JY
2779,Queensmill Road,2300000,House,2713,6,6,6,Fulham,London,SW6 6JP
2780,Welbeck House,6100000,Flat / Apartment,2625,5,5,5, Marylebone,London,W1G 9XE
2781,Castlebar Hill,950000,House,968,2,2,2,Ealing,London,W5 1TD
2782,Ingram Avenue,17950000,House,14358,7,7,7,Hampstead Garden Suburb,London,NW11 6TL
2783,Coleherne Court,1195000,Flat / Apartment,1039,3,3,3,Old Brompton Road,London,SW5 0EE
2784,Airedale Avenue,2250000,House,1874,5,5,5,Chiswick,London,W4 2NW
2785,Bridges Wharf,595000,Flat / Apartment,674,2,2,2, Battersea,London,SW11 3GZ
2786,Birdhurst Road,700000,Flat / Apartment,801,3,3,3,,London,SW18 1AR
2787,Ann Street,675000,Flat / Apartment,736,2,2,2,,London,N1 7FF
2788,Quartz House,800000,Flat / Apartment,907,2,2,2, Ealing,London,W5 2XA
2789,Kings Road,1100000,Flat / Apartment,1156,2,2,2,,London,SW10 0TX
2790,Kingsway,995000,Flat / Apartment,685,2,2,2,,London,WC2B 6EL
2791,North Gate,3500000,Flat / Apartment,2423,4,4,4, St. John's Wood,London,NW8 7EJ
2792,Burlington Gardens,3950000,House,4188,7,7,7,Chiswick,London,W4 4LT
2793,Wilton Place,9000000,House,4039,5,5,5,,London,SW1X 8RL
2794,Bentley Priory,700000,Flat / Apartment,1221,3,3,3, Stanmore,Middlesex,HA7 3FB
2795,Oaklands Estate,500000,Flat / Apartment,945,4,4,4,Clapham,London,SW4 8AG
2796,Kirby Street,950000,Flat / Apartment,870,2,2,2,Clerkenwell,London,EC1N 8TE
2797,St. Luke's Avenue,1100000,New development,1310,2,2,2,,London,SW4 7EB
2798,Carillon Court,470000,Penthouse,496,1,1,1, Shoreditch,London,E1 5EN
2799,Petersham Road,2980000,House,3433,6,6,6,Richmond,Surrey,TW10 7DA
2800,Hopkinsons Place,1250000,Flat / Apartment,969,3,3,3,Primrose Hill,London,NW1 8TN
2801,Reform Street,850000,House,1017,2,2,2,Battersea,London,SW11 5AJ
2802,Tufton Court,1325000,Flat / Apartment,1167,3,3,3,Tufton Street,London,SW1P 3QH
2803,The Knightsbridge Apartments,6950000,Flat / Apartment,1584,3,3,3,199 Knightsbridge,London,SW7 1RH
2804,Hilliard Road,650000,House,1386,4,4,4,Northwood,Middlesex,HA6 1SP
2805,St. Peters Square,3400000,House,2441,4,4,4,Hammersmith,London,W6 9AB
2806,Drake House,1650000,Flat / Apartment,1189,2,2,2,76 Marsham Street,London,SW1P 4LY
2807,The Belvedere,2750000,Flat / Apartment,2080,4,4,4, Chelsea,London,SW10 0XA
2808,Wheatley Street,2200000,Flat / Apartment,1119,2,2,2,Marylebone,London,W1G 8PS
2809,Cornwall Gardens,4350000,Penthouse,2494,3,3,3,,London,SW7 4BQ
2810,Colefax Building,475000,Flat / Apartment,542,1,1,1,23 Plumbers Row,London,E1 1EQ
2811,Sculpture House,450000,Flat / Apartment,738,2,2,2,4 Killick Way,London,E1 3FE
2812,Westbourne Terrace,1450000,Flat / Apartment,1067,2,2,2,,London,W2 6QT
2813,Durham Terrace,2250000,Flat / Apartment,1539,2,2,2,,London,W2 5PB
2814,New Road,4750000,House,8081,7,7,7,Esher,Surrey,KT10 9PG
2815,Cedars Road,3500000,House,3001,5,5,5,Barnes,London,SW13 0HP
2816,New Atlas Wharf,865000,Flat / Apartment,1551,3,3,3,3 Arnhem Place,London,E14 3SS
2817,Benbow House,8250000,Penthouse,4555,5,5,5, Southwark,London,SE1 9DS
2818,Kent Terrace,7500000,House,3792,5,5,5,Regent's Park,London,NW1 4RP
2819,Park Street,7925000,House,2648,4,4,4,Mayfair,London,W1K 2JZ
2820,Residence Tower,595000,Flat / Apartment,795,2,2,2,Woodberry Grove,London,N4 2BS
2821,Acfold Road,2650000,House,2454,6,6,6,Fulham,London,SW6 2AL
2822,Abbey Lodge,5950000,Penthouse,2220,4,4,4, St John's Wood,London,NW8 7RL
2823,North Gate,5600000,Flat / Apartment,2509,4,4,4, St. John's Wood,London,NW8 7EH
2824,New Road,2250000,House,3889,4,4,4,Esher,Surrey,KT10 9PG
2825,Dalling Road,1100000,House,1454,4,4,4,,London,W6 0JD
2826,Doulton House,1195000,Flat / Apartment,1024,3,3,3, Fulham,London,SW6 2FS
2827,Queensbridge Road,975000,Flat / Apartment,1194,3,3,3,Hackney,London,E8 3AR
2828,Windsor House,600000,Flat / Apartment,1219,3,3,3, Bushey,Hertfordshire,WD23 2RH
2829,Chiltern Place,4950000,New development,1627,2,2,2,66 Chiltern Street,Marylebone,W1U 6NJ
2830,Oakhill Avenue,995000,House,1762,4,4,4,Pinner,Middlesex,HA5 3DL
2831,Hereford Road,725000,Flat / Apartment,521,1,1,1,Notting Hill,London,W2 5AJ
2832,Hollandgreen Place,2750000,New development,1184,2,2,2,,London,W8 6AX
2833,South Quay Plaza,1375000,New development,1203,3,3,3,Canary Wharf,London,E14 9SH
2834,Wardian West Tower,1850000,Penthouse,1268,2,2,2, Canary Wharf,London,E14 9TP
2835,Kings Gate Walk,1825000,New development,934,2,2,2,Victoria,London,SW1E 6AN
2836,St George's Park,807995,New development,1650,5,5,5,Suttons Lane,Hornchurch,RM12 6RS
2837,Fairacres,1325000,Flat / Apartment,2403,4,4,4, Putney,London,SW15 5LX
2838,Buckingham Gate,750000,Flat / Apartment,596,1,1,1,,London,SW1E 6PB
2839,Gertrude Street,1425000,Flat / Apartment,983,2,2,2,,London,SW10 0JG
2840,The Arthaus Apartments,550000,Flat / Apartment,672,2,2,2,205 Richmond Road,London,E8 3FF
2841,Duchess of Bedford House,2200000,Flat / Apartment,1337,3,3,3,Duchess of Bedfords Walk,London,W8 7QN
2842,Malvern Terrace,2000000,House,1450,4,4,4,Islington,London,N1 1HR
2843,Regan Yard,640000,New development,794,3,3,3, London,N1 6FU,N1 6PH
2844,Aberdeen Road,3500000,House,3247,5,5,5,,London,N5 2XB
2845,23 Maud Street,765000,Flat / Apartment,1234,3,3,3,Royal Docks,London,E16 1YU
2846,Mozart Terrace,7500000,House,3871,5,5,5,Ebury Street,London,SW1W 8UP
2847,Gayville Road,875000,Flat / Apartment,782,2,2,2,,London,SW11 6JP
2848,The Spinney,4350000,New development,8151,5,5,5,Queens Drive,Oxshott,KT22 0PL
2849,Jessel Drive,475000,House,1018,3,3,3,Loughton,Essex,IG10 2EX
2850,Ebury Square,5395000,Flat / Apartment,1845,3,3,3,,London,SW1W 9AH
2851,Hallowell Road,300000,Flat / Apartment,573,1,1,1,Northwood,Middlesex,HA6 1DT
2852,Sussex Square,1600000,Flat / Apartment,1535,4,4,4,Paddington,London,W2 2SR
2853,St John's Place,890000,Flat / Apartment,800,2,2,2,Clerkenwell,London,EC1M 4NP
2854,Regents House,775000,New development,636,1,1,1, Battersea,London,SW11 4FA
2855,Charles Street,1600000,New development,1500,3,3,3,Barnes,London,SW13 0NZ
2856,Queen's Gate Place,1950000,Flat / Apartment,1376,2,2,2,,London,SW7 5NU
2857,Goodwood Court,680000,Flat / Apartment,484,1,1,1,54-57 Devonshire Street,London,W1W 5DZ
2858,Old Church Street,7600000,House,2896,4,4,4,,London,SW3 5DQ
2859,Overstrand Mansions,1800000,Flat / Apartment,1386,3,3,3,Prince of Wales Drive,London,SW11 4HA
2860,Overstrand Mansions,1490000,Flat / Apartment,1452,3,3,3,Prince of Wales Drive,London,SW11 4EY
2861,Cranbourne Court,1500000,Flat / Apartment,1088,2,2,2,Albert Bridge Road,London,SW11 4PE
2862,Enclave Court,1100000,Flat / Apartment,1056,1,1,1, Clerkenwell,London,EC1V 0BH
2863,Girdlers Road,1030000,Flat / Apartment,959,2,2,2,Brook Green,London,W14 0PS
2864,Television Centre,1350000,Flat / Apartment,1007,2,2,2,3 Wood Crescent,London,W12 7GN
2865,Pentland House,880000,Flat / Apartment,693,2,2,2,188 Cromwell Road,London,SW5 0SJ
2866,Belgrave Court,875000,Flat / Apartment,1278,2,2,2, Canary Wharf,London,E14 8RJ
2867,Gooch House,544999,Flat / Apartment,792,2,2,2, Greenwich,London,SE10 0XL
